288;Z� BONI;PRTB;0
281;JAIR ANDREONI;PRTB;0
290;GILSON MEZAROBBA;PCO;0
151;ROBERTO PAULINO;MDB;0
200;ZEQUINHA MARINHO;PSC;0
177;SUBTENENTE ASSIS;PSL;0
500;URSULA VIDAL;PSOL;0
151;M�RCIO BITTAR;MDB;0
144;ALEX CANZIANI;PTB;0
505;PROFESSOR ANTONIO;PSOL;0
290;ALEX LIMA ROLA;PCO;0
500;ALBANISE;PSOL;0
455;Z� REINALDO;PSDB;0
281;MATTOS NASCIMENTO;PRTB;0
180;CAPIT�O STYVENSON;REDE;0
281;BRIGADEIRO ATILA MAIA;PRTB;0
151;MOKA;MDB;0
290;FERNANDO FAGUNDES RIBEIRO;PCO;0
270;SARGENTO ELIZEU NASCIMENTO;DC;0
233;CRISTOVAM BUARQUE;PPS;0
177;FL�VIO BOLSONARO;PSL;0
455;ASPASIA;PSDB;0
133;ZECA DO PT;PT;0
505;PROFESSOR JOSSIM�RIO MICK;PSOL;0
151;VALDIR RAUPP;MDB;0
500;ANISIO GUATO;PSOL;0
456;NILSON LEIT�O;PSDB;0
500;MELK AIRES;PSOL;0
188;SEBASTI�O CARLOS;REDE;0
111;DANIELLA RIBEIRO;PP;0
456;RICARDO FERRA�O;PSDB;0
131;PAULO PAIM;PT;0
131;EDUARDO SUPLICY;PT;0
405;L�CIA V�NIA;PSB;0
152;GILVAM BORGES;MDB;0
555;IRAJ�;PSD;0
900;EDUARDO GIR�O;PROS;0
505;GILBERTO LOPES FILHO;PSOL;0
133;F�TIMA CLEIDE;PT;0
156;ROMERO JUC�;MDB;0
151;JOS� FOGA�A;MDB;0
456;NILSON LEIT�O;PSDB;0
177;PR.ISAMAR RAMALHO;PSL;0
255;CESAR MAIA;DEM;0
290;FL�VIA MELO;PCO;0
160;MAGELA;PSTU;0
200;ANDR� MOURA;PSC;0
177;PROFESSOR WILSON PICLER;PSL;0
501;CHICO SANT ANNA;PSOL;0
456;BRUNO ARAUJO;PSDB;0
511;WALTER CRISTIE SILVA AGUIAR;PATRIOTA;0
210;PROFESSORA MAGDA BORGES;PCB;0
656;VANESSA;PC do B;0
212;I�GO BRUNNO;PCB;0
500;PROFESSOR NELSON J�NIOR;PSOL;0
277;MARCOS MAURICIO;DC;0
180;JO�O SARAIVA;REDE;0
282;LEVI COSTA;PRTB;0
154;GARIBALDI FILHO;MDB;0
283;RODRIGO REIS;PRTB;0
170;JUIZA SELMA ARRUDA;PSL;0
700;SILVIO COSTA;AVANTE;0
131;JORGE VIANA;PT;0
188;NAPOLE�O;REDE;0
151;EUN�CIO;MDB;0
500;PROFESSOR PEDRO CABRAL;PSOL;0
700;EDSON ANDRE P;AVANTE;0
100;PASTOR HELENO;PRB;0
404;VALADARES;PSB;0
150;JORGE VIANNA;MDB;0
169;JO�O MORAIS ;PSTU;0
222;MAGNO MALTA;PR;0
211;PROFESSOR FAUSTO RIPARDO;PCB;0
131;LINDBERGH;PT;0
290;ALEXANDRE BARROSO;PCO;0
500;PROF. CICERO ALBUQUERQUE;PSOL;0
134;LUIZ COUTO;PT;0
543;XAROPINHO DO POVO;PPL;0
510;ROSELAINE BARROSO FERREIRA;PATRIOTA;0
300;DIOGO DA LUZ;NOVO;0
210;OSVALDO MACIEL;PCB;0
255;MARCOS ROG�RIO;DEM;0
510;SANTANA PIRES;PATRIOTA;0
500;SAULO PINTO;PSOL;0
456;JUTAHY MAGALHAES JUNIOR;PSDB;0
505;ANNA KARINA;PSOL;0
190;BETO FIGUEIR�;PODE;0
133;NEY AMORIM;PT;0
450;TRIPOLI;PSDB;0
200;IRM�O L�ZARO;PSC;0
400;SIDNEY ROSA;PSB;0
654;MARIO  FONSECA;PC do B;0
368;CESAR NICOLATTI;PTC;0
123;CORONEL OSMAR NASCIMENTO;PDT;0
181;FLAVIO ARNS;REDE;0
510;ADELSON ALVES;PATRIOTA;0
177;MAJOR OLIMPIO;PSL;0
555;F�VARO;PSD;0
280;CELSINHO COTRIM;PRTB;0
333;CHICO PRETO;PMN;0
368;DELCIDIO AMARAL;PTC;0
161;VANESSA PORTUGAL BARBOSA;PSTU;0
456;GERALDO MELO;PSDB;0
500;PASTOR SIM�ES;PSOL;0
210;PROFESSOR TULIO LOPES;PCB;0
130;JAQUES WAGNER;PT;0
161;ANA CELIA;PSTU;0
500;PROFESSORA SILVIA FERRARO;PSOL;0
161;HELIO CABRAL;PSTU;0
199;J�COME;PODE;0
777;DINIS PINHEIRO;SOLIDARIEDADE;0
280;TED WILSON;PRTB;0
170;COMANDANTE RANGEL;PSL;0
111;ESPERIDI�O AMIN;PP;0
512;CHRISTIAN SANTOS;PATRIOTA;0
181;MIRIAM PROCHNOW;REDE;0
508;RONDINELY FONSECA;PSOL;0
180;ALU�ZIO VIDAL;REDE;0
111;BENEDITO DE LIRA;PP;0
222;VICENTINHO;PR;0
290;PROFESSOR ALESSANDRO AQUINO;PCO;0
222;JORGINHO MELLO;PR;0
500;JACQUE PARMIGIANI;PSOL;0
444;FADI FARAJ;PRP;0
133;MARCELO NEVES;PT;0
161;CYRO CARGIA;PSTU;0
133;DILMA ROUSSEFF;PT;0
290;ANA ALVES;PCO;0
177;ELIZEU AGUIAR;PSL;0
777;EDUARDO GOMES;SOLIDARIEDADE;0
211;MAURO RIBEIRO;PCB;0
288;JURANDIR MARINHO;PRTB;0
432;SARNEY FILHO;PV;0
131;Z� GERALDO;PT;0
351;DR. JOSENIR DETTONI;PMB;0
111;CIRO NOGUEIRA;PP;0
100;GILMAR DA CRUZ;PRB;0
131;C�LIA TAVARES;PT;0
278;LAFAYETTE ANDRADE;DC;0
500;LIU KATRINE;PSOL;0
161;DR. DAVI;PSTU;0
251;WILDER MORAIS;DEM;0
160;RICARDO LAUTERT;PSTU;0
161;DRA. ELIANA FERREIRA;PSTU;0
222;ALFREDO NASCIMENTO;PR;0
290;ADROALDO DOS SANTOS;PCO;0
250;RODRIGO PACHECO;DEM;0
300;RODRIGO PAIVA;NOVO;0
123;HISSA ABRAH�O;PDT;0
777;WLAD;SOLIDARIEDADE;0
555;AROLDE DE OLIVEIRA;PSD;0
131;PROFESSORA GELI;PT;0
107;MECIAS DE JESUS;PRB;0
